file,line,class,confidence,token
frontend/src/app/dashboard/admin/permissions/page.tsx,52,replacement-char,0.9,"create: 'ا�Rجاد',"
frontend/src/app/dashboard/admin/permissions/page.tsx,53,mojibake,0.95,"edit: 'Ùˆیرایش',"
frontend/src/app/dashboard/admin/permissions/page.tsx,57,replacement-char,0.9,"sign: 'ا�&ضا',"
frontend/src/app/dashboard/admin/permissions/page.tsx,58,replacement-char,0.9,"print: '� اپ',"
frontend/src/app/dashboard/admin/permissions/page.tsx,59,mojibake,0.95,"import: 'ÙˆØ±Ùˆد',"
frontend/src/app/dashboard/admin/permissions/page.tsx,60,mojibake,0.95,"export: 'Ø®Ø±Ùˆجی',"
frontend/src/app/dashboard/admin/permissions/page.tsx,61,mojibake,0.95,"update: 'Ø¨Ù‡â€ŒØ±Ùˆزرسانی',"
frontend/src/app/dashboard/admin/permissions/page.tsx,62,mojibake,0.95,"toggle: 'تغییر Ùˆضعیت',"
frontend/src/app/dashboard/admin/permissions/page.tsx,63,mojibake,0.95,"start: 'Ø´Ø±Ùˆع',"
frontend/src/app/dashboard/admin/permissions/page.tsx,65,replacement-char,0.9,"assign: 'تخص�Rص',"
frontend/src/app/dashboard/admin/permissions/page.tsx,68,replacement-char,0.9,"send: 'ارسا�',"
frontend/src/app/dashboard/admin/permissions/page.tsx,69,replacement-char,0.9,"stats: 'آ�&ار'"
frontend/src/app/dashboard/admin/permissions/page.tsx,74,mojibake,0.95,"dashboard: 'Ø¯Ø§Ø´Ø¨Ùˆرد',"
frontend/src/app/dashboard/admin/permissions/page.tsx,75,mojibake,0.95,"profile: 'Ù¾Ø±Ùˆفایل',"
frontend/src/app/dashboard/admin/permissions/page.tsx,80,mojibake,0.95,"status: 'Ùˆضعیت',"
frontend/src/app/dashboard/admin/permissions/page.tsx,83,mojibake,0.95,"project: 'Ù¾Ø±ÙˆÚ˜ه',"
frontend/src/app/dashboard/admin/permissions/page.tsx,92,replacement-char,0.9,"contract: '�رارداد',"
frontend/src/app/dashboard/admin/permissions/page.tsx,94,mojibake,0.95,"deliveries: 'ØªØ­Ùˆیل‌ها',"
frontend/src/app/dashboard/admin/permissions/page.tsx,99,mojibake,0.95,"generate: 'ØªÙˆلید',"
frontend/src/app/dashboard/admin/permissions/page.tsx,100,mojibake,0.95,"products: 'Ù…Ø­ØµÙˆلات',"
frontend/src/app/dashboard/admin/permissions/page.tsx,101,mojibake,0.95,"product: 'Ù…Ø­ØµÙˆل',"
frontend/src/app/dashboard/admin/permissions/page.tsx,102,mojibake,0.95,"attributes: 'ÙˆÛŒÚ˜گی‌ها',"
frontend/src/app/dashboard/admin/permissions/page.tsx,104,mojibake,0.95,"sales: 'ÙØ±Ùˆش',"
frontend/src/app/dashboard/admin/permissions/page.tsx,106,replacement-char,0.9,"inventory: 'ا� بار',"
frontend/src/app/dashboard/admin/permissions/page.tsx,109,replacement-char,0.9,"accounting: 'حسابدار�R',"
frontend/src/app/dashboard/admin/permissions/page.tsx,112,mojibake,0.95,"types: 'Ø§Ù†Ùˆاع',"
frontend/src/app/dashboard/admin/permissions/page.tsx,113,mojibake,0.95,"type: 'Ù†Ùˆع',"
frontend/src/app/dashboard/admin/permissions/page.tsx,114,replacement-char,0.9,"stone: 'س� گ',"
frontend/src/app/dashboard/admin/permissions/page.tsx,115,mojibake,0.95,"materials: 'Ù…Ùˆاد',"
frontend/src/app/dashboard/admin/permissions/page.tsx,122,replacement-char,0.9,"services: 'خد�&ات',"
frontend/src/app/dashboard/admin/permissions/page.tsx,123,replacement-char,0.9,"service: 'خد�&ت',"
frontend/src/app/dashboard/admin/permissions/page.tsx,124,replacement-char,0.9,"sub: 'ز�Rر',"
frontend/src/app/dashboard/admin/permissions/page.tsx,126,replacement-char,0.9,"standard: 'استا� دارد',"
frontend/src/app/dashboard/admin/permissions/page.tsx,127,mojibake,0.95,"lengths: 'Ø·Ùˆل‌ها',"
frontend/src/app/dashboard/admin/permissions/page.tsx,131,mojibake,0.95,"attendance: 'Ø­Ø¶Ùˆر و غیاب',"
frontend/src/app/dashboard/admin/permissions/page.tsx,132,mojibake,0.95,"checkin: 'ÙˆØ±Ùˆد',"
frontend/src/app/dashboard/admin/permissions/page.tsx,133,mojibake,0.95,"checkout: 'Ø®Ø±Ùˆج',"
frontend/src/app/dashboard/admin/permissions/page.tsx,134,replacement-char,0.9,"exception: 'استث� اء',"
frontend/src/app/dashboard/admin/permissions/page.tsx,136,mojibake,0.95,"daily: 'Ø±Ùˆزانه',"
frontend/src/app/dashboard/admin/permissions/page.tsx,138,mojibake,0.95,"missions: 'Ù…Ø§Ù…Ùˆریت‌ها',"
frontend/src/app/dashboard/admin/permissions/page.tsx,139,replacement-char,0.9,"signature: 'ا�&ضا',"
frontend/src/app/dashboard/admin/permissions/page.tsx,143,mojibake,0.95,"templates_edit: 'Ùˆیرایش قالب‌ها',"
frontend/src/app/dashboard/admin/permissions/page.tsx,172,mojibake,0.95,"'sales': 'ÙØ±Ùˆش',"
frontend/src/app/dashboard/admin/permissions/page.tsx,173,replacement-char,0.9,"'inventory': 'ا� بار',"
frontend/src/app/dashboard/admin/permissions/page.tsx,176,replacement-char,0.9,"'accounting': 'حسابدار�R'"
frontend/src/app/dashboard/admin/permissions/page.tsx,181,mojibake,0.95,"'edit': 'Ùˆیرایش',"
frontend/src/app/dashboard/admin/permissions/page.tsx,392,mojibake,0.95,"alert('لطفاً تمام فیلدهای Ø¶Ø±Ùˆری را پر کنید');"
frontend/src/app/dashboard/admin/permissions/page.tsx,397,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند دسترسی مدیر سیستم را تغییر دهد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,425,mojibake,0.95,"alert('خطا در ایجاد Ù…Ø¬Ùˆز: ' + response.data.error);"
frontend/src/app/dashboard/admin/permissions/page.tsx,442,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند دسترسی مدیر سیستم را تغییر دهد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,448,mojibake,0.95,"alert('لطفاً حداقل ÛŒÚ© ویژگی را انتخاب کنید');"
frontend/src/app/dashboard/admin/permissions/page.tsx,494,mojibake,0.95,"alert('خطا در ایجاد Ù…Ø¬Ùˆزها\n' + errors.join('\n'));"
frontend/src/app/dashboard/admin/permissions/page.tsx,515,mojibake,0.95,"if (!confirm('آیا از حذف این Ù…Ø¬Ùˆز اطمینان دارید؟')) return;"
frontend/src/app/dashboard/admin/permissions/page.tsx,519,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند دسترسی مدیر سیستم را تغییر دهد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,531,mojibake,0.95,"alert('خطا در حذف Ù…Ø¬Ùˆز: ' + response.data.error);"
frontend/src/app/dashboard/admin/permissions/page.tsx,543,mojibake,0.95,"alert('لطفاً تمام فیلدهای Ø¶Ø±Ùˆری را پر کنید');"
frontend/src/app/dashboard/admin/permissions/page.tsx,548,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند دسترسی مدیر سیستم را تغییر دهد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,572,mojibake,0.95,"alert('Ù…Ø¬Ùˆز فضای کاری با Ù…Ùˆفقیت ایجاد شد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,574,mojibake,0.95,"alert('خطا در ایجاد Ù…Ø¬Ùˆز فضای کاری: ' + response.data.error);"
frontend/src/app/dashboard/admin/permissions/page.tsx,584,mojibake,0.95,"if (!confirm('آیا از حذف این Ù…Ø¬Ùˆز فضای کاری اطمینان دارید؟')) return;"
frontend/src/app/dashboard/admin/permissions/page.tsx,588,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند دسترسی مدیر سیستم را تغییر دهد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,599,mojibake,0.95,"alert('Ù…Ø¬Ùˆز فضای کاری با Ù…Ùˆفقیت حذف شد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,601,mojibake,0.95,"alert('خطا در حذف Ù…Ø¬Ùˆز فضای کاری: ' + response.data.error);"
frontend/src/app/dashboard/admin/permissions/page.tsx,617,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند دسترسی نقش مدیر را تغییر دهد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,653,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند Ù…Ø¬Ùˆز نقش مدیر را حذف کند');"
frontend/src/app/dashboard/admin/permissions/page.tsx,657,mojibake,0.95,"if (!confirm('آیا از حذف این Ù…Ø¬Ùˆز نقش مطمئن هستید؟')) return;"
frontend/src/app/dashboard/admin/permissions/page.tsx,676,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند دسترسی نقش مدیر را تغییر دهد');"
frontend/src/app/dashboard/admin/permissions/page.tsx,714,mojibake,0.95,"alert('مدیر ÙØ±Ùˆش Ù†Ù…ÛŒâ€ŒØªÙˆاند Ù…Ø¬Ùˆز نقش مدیر را حذف کند');"
frontend/src/app/dashboard/admin/permissions/page.tsx,718,mojibake,0.95,"if (!confirm('آیا از حذف این Ù…Ø¬Ùˆز نقش مطمئن هستید؟')) return;"
frontend/src/app/dashboard/admin/permissions/page.tsx,808,mojibake,0.95,"<h1 className=""text-2xl font-bold text-white mb-4"">دسترسی Ù…Ø­Ø¯Ùˆد</h1>"
frontend/src/app/dashboard/admin/permissions/page.tsx,816,mojibake,0.95,"بازگشت به Ø¯Ø§Ø´Ø¨Ùˆرد"
frontend/src/app/dashboard/admin/permissions/page.tsx,831,mojibake,0.95,"<h1 className=""text-3xl font-bold text-white mb-2"">مدیریت Ù…Ø¬Ùˆزهای کاربران</h1>"
frontend/src/app/dashboard/admin/permissions/page.tsx,832,mojibake,0.95,"<p className=""text-gray-300"">جستجو و انتخاب کاربر برای مدیریت Ù…Ø¬Ùˆزهای دسترسی</p>"
frontend/src/app/dashboard/admin/permissions/page.tsx,899,mojibake,0.95,"Ù…Ø¬Ùˆزهای {selectedUser.firstName} {selectedUser.lastName}"
frontend/src/app/dashboard/admin/permissions/page.tsx,917,mojibake,0.95,"Ø§ÙØ²Ùˆدن Ù…Ø¬Ùˆز جدید"
frontend/src/app/dashboard/admin/permissions/page.tsx,924,mojibake,0.95,"<h3 className=""text-lg font-medium text-white"">Ù…Ø¬Ùˆزهای فضای کاری</h3>"
frontend/src/app/dashboard/admin/permissions/page.tsx,939,mojibake,0.95,"Ø§ÙØ²Ùˆدن Ù…Ø¬Ùˆز فضای کاری"
frontend/src/app/dashboard/admin/permissions/page.tsx,961,mojibake,0.95,"title=""حذف Ù…Ø¬Ùˆز فضای کاری"""
frontend/src/app/dashboard/admin/permissions/page.tsx,977,mojibake,0.95,"<p className=""text-gray-400"">هیچ Ù…Ø¬Ùˆز فضای کاری تعریف نشده است</p>"
frontend/src/app/dashboard/admin/permissions/page.tsx,984,mojibake,0.95,"<h3 className=""text-lg font-medium text-white mb-4"">Ù…Ø¬Ùˆزهای جزئی</h3>"
frontend/src/app/dashboard/admin/permissions/page.tsx,989,mojibake,0.95,"<p className=""text-gray-400 text-lg"">هیچ Ù…Ø¬Ùˆز جزئی تعریف نشده است</p>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1004,mojibake,0.95,"Ø§ÙØ²Ùˆدن Ù…Ø¬Ùˆز جدید"
frontend/src/app/dashboard/admin/permissions/page.tsx,1014,replacement-char,0.9,"<th className=""text-right py-3 px-4 text-gray-300"">سطح دسترس�R</th>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1015,mojibake,0.95,"<th className=""text-right py-3 px-4 text-gray-300"">Ùˆضعیت</th>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1041,replacement-char,0.9,"فعا�"
frontend/src/app/dashboard/admin/permissions/page.tsx,1082,mojibake,0.95,"برای مشاهده و مدیریت Ù…Ø¬Ùˆزها، ابتدا ÛŒÚ© کاربر را از لیست بالا انتخاب کنید"
frontend/src/app/dashboard/admin/permissions/page.tsx,1090,mojibake,0.95,"<h2 className=""text-xl font-bold text-white"">مدیریت Ù…Ø¬Ùˆزهای نقش</h2>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1092,mojibake,0.95,"<span className=""text-xs text-gray-400"">مدیر ÙØ±Ùˆش به نقش مدیر دسترسی ندارد</span>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1099,mojibake,0.95,"<h3 className=""text-lg font-semibold text-white mb-3"">Ù…Ø¬Ùˆزهای فضای کاری بر اساس نقش</h3>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1136,replacement-char,0.9,"<label className=""block text-gray-300 mb-1 text-sm"">سطح دسترس�R</label>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1143,mojibake,0.95,"<option value=""edit"">Ùˆیرایش</option>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1159,replacement-char,0.9,"پاک کرد�"
frontend/src/app/dashboard/admin/permissions/page.tsx,1166,mojibake,0.95,"<p className=""text-xs text-gray-400"">هیچ Ù…Ø¬Ùˆزی ثبت نشده است.</p>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1179,mojibake,0.95,"Ùˆیرایش"
frontend/src/app/dashboard/admin/permissions/page.tsx,1196,mojibake,0.95,"<h3 className=""text-lg font-semibold text-white mb-3"">Ù…Ø¬Ùˆزهای ویژگی بر اساس نقش</h3>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1247,replacement-char,0.9,"<label className=""block text-gray-300 mb-1 text-sm"">سطح دسترس�R</label>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1254,mojibake,0.95,"<option value=""edit"">Ùˆیرایش</option>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1270,replacement-char,0.9,"پاک کرد�"
frontend/src/app/dashboard/admin/permissions/page.tsx,1277,mojibake,0.95,"<p className=""text-xs text-gray-400"">هیچ Ù…Ø¬Ùˆزی ثبت نشده است.</p>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1290,mojibake,0.95,"Ùˆیرایش"
frontend/src/app/dashboard/admin/permissions/page.tsx,1352,mojibake,0.95,"انتخاب ÙˆÛŒÚ˜گی‌ها برای {getWorkspaceDisplayName(formData.workspace)}"
frontend/src/app/dashboard/admin/permissions/page.tsx,1355,mojibake,0.95,"{getFilteredFeatures().length} ویژگی Ù…ÙˆØ¬Ùˆد است"
frontend/src/app/dashboard/admin/permissions/page.tsx,1372,mojibake,0.95,"همه (Ùˆیرایش)"
frontend/src/app/dashboard/admin/permissions/page.tsx,1379,replacement-char,0.9,"پاک کرد�"
frontend/src/app/dashboard/admin/permissions/page.tsx,1396,mojibake,0.95,"<span>Ùˆضعیت فعلی</span>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1402,replacement-char,0.9,"<span>ا� تخاب</span>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1408,replacement-char,0.9,"<span>سطح دسترس�R</span>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1456,mojibake,0.95,"Ø¨Ø¯Ùˆن دسترسی"
frontend/src/app/dashboard/admin/permissions/page.tsx,1511,mojibake,0.95,"<option value=""edit"">Ùˆیرایش</option>"
frontend/src/app/dashboard/admin/permissions/page.tsx,1537,mojibake,0.95,"آماده برای ایجاد Ù…Ø¬Ùˆز"
frontend/src/app/dashboard/admin/permissions/page.tsx,1548,mojibake,0.95,"<option value=""edit"">Ùˆیرایش</option>"
